Date,HS_I,5,66,1,16,3,11
2001/2/26,15230.21973,64.417236,8.338809,33.339622,50.984432,1.346348,40.531048
2001/2/27,14834.73047,59.4408,8.251034,32.722195,50.695587,1.340517,37.835629
2001/2/28,14787.87012,58.058437,8.397328,33.339622,50.262272,1.358004,37.036991
2001/3/1,14360.55957,57.50552,8.280293,32.545776,46.94035,1.340517,36.537849
2001/3/2,13966.42969,57.22905,8.163252,31.134607,46.362644,1.375487,37.53614
2001/3/5,14135.25977,56.676105,8.192513,31.399193,47.518082,1.375487,38.234943
2001/3/6,14321.04981,56.676105,8.251034,32.722195,49.251259,1.363831,37.835629
2001/3/7,14177.36035,56.676105,8.192513,32.633984,48.817947,1.334689,37.735813
2001/3/8,14208.9502,57.50552,8.163252,32.722195,48.962387,1.328861,37.136829
2001/3/9,14194.34961,58.058437,8.104739,32.545776,47.951382,1.334689,37.53614
2001/3/12,13776.71973,56.676105,7.929185,31.399193,45.496029,1.299718,36.836441
2001/3/13,13493.03027,54.740803,7.665853,31.046402,43.907288,1.258921,36.52776
2001/3/14,13330.83984,53.235264,null,null,null,null,null
2001/3/15,13504.16992,52.680714,7.548819,31.751987,45.640461,1.30555,36.52776
2001/3/16,13522.04004,52.958004,7.665853,31.310984,45.496029,1.235609,36.836441
2001/3/19,13457.69043,51.433029,7.636594,31.575607,45.640461,1.270579,37.76252
2001/3/20,13223.86035,51.433029,7.548819,30.693607,44.918304,1.258921,36.939342
2001/3/21,13154.44043,51.710281,7.607336,30.42898,43.329556,1.247265,36.733559
2001/3/22,12621.84961,50.323959,7.431781,29.017811,41.307514,1.229782,35.293026
2001/3/23,12583.36035,49.630795,7.431781,28.400393,42.029675,1.22395,36.42487
2001/3/26,12950.49023,50.601219,7.490298,29.017811,43.47398,1.253093,37.350922
2001/3/27,12707.90039,50.185322,7.285489,27.782984,41.885242,1.253093,37.145149
2001/3/28,12851.41016,50.878494,7.431781,28.135809,42.462963,1.241437,37.453819
2001/3/29,12677.88965,50.323959,7.46104,28.31218,42.462963,1.229782,37.145149
2001/3/30,12760.63965,50.878494,7.373265,28.841391,42.896267,1.235609,37.350922
2001/4/2,12727.29981,51.294392,7.490298,29.017811,42.197823,1.235609,36.939342
2001/4/3,12584.21973,51.017105,7.431781,29.017811,42.779854,1.282235,37.86541
2001/4/4,12063.70996,49.769409,7.197711,28.400393,41.470272,1.276407,37.042236
2001/4/5,null,49.769409,null,28.400393,41.470272,1.276407,37.042236
2001/4/6,12386.61035,50.739864,7.431781,28.22398,40.888229,1.323033,37.350922
2001/4/9,12202.09961,50.878494,7.344003,27.430182,39.433125,1.317206,37.350922
2001/4/10,12213.66992,50.739864,7.344003,26.989172,38.269058,1.293891,37.453819
2001/4/11,12706.42969,52.12619,7.490298,27.871166,40.306187,1.293891,37.248035
2001/4/12,12989.46973,52.680714,7.724369,28.841391,41.61578,1.209343,37.556717
2001/4/13,null,52.680714,null,28.841391,41.61578,1.209343,37.556717
2001/4/16,null,52.680714,null,28.841391,41.61578,1.209343,37.556717
2001/4/17,12606.4502,51.433029,7.607336,28.400393,39.724155,1.196876,37.86541
2001/4/18,12972.79981,52.12619,7.782888,29.105974,41.033741,1.17194,38.482761
2001/4/19,13548.9502,54.621601,7.929185,30.958191,43.652916,1.14077,39.203049
2001/4/20,13448.12988,55.037491,7.724369,30.252611,42.925358,1.14077,39.203049
2001/4/23,13311.5,53.78978,7.812149,30.693607,41.906803,1.159474,38.997253
2001/4/24,13274.61035,54.482956,7.753628,30.781815,41.761292,1.147004,39.203049
2001/4/25,13249.54981,54.205704,7.782888,30.517185,41.761292,1.153241,38.482761
2001/4/26,13293.11035,54.621601,7.782888,30.517185,41.761292,1.153241,38.482761
2001/4/27,13386.04004,54.898849,7.870665,30.6054,42.488838,1.165707,37.86541
2001/4/30,null,54.898849,null,30.6054,42.488838,1.165707,37.86541
2001/5/1,null,54.898849,null,30.6054,42.488838,1.165707,37.86541
2001/5/2,13814.24023,56.007912,7.841405,31.487398,42.634346,1.165707,37.350922
2001/5/3,13718.13965,53.78978,7.695112,31.575607,42.925358,1.159474,37.248035
2001/5/4,13390.99023,52.958004,7.548819,31.222767,42.052303,1.165707,36.733559
2001/5/7,13600.78027,54.482956,7.958443,32.192986,43.361893,1.153241,37.453819
2001/5/8,13540.80957,53.928406,7.987919,32.016609,42.925358,1.17194,37.556717
2001/5/9,13585.13965,54.205704,8.076345,32.192986,42.197823,1.178173,36.939342
